T:1.1.5.;T:1.2.9.;T:1.2.10.;VPL:1.2.11.;VPL:1.2.12.;VPL:1.2.13.;T:1.3.11.;T:1.3.12.;VPL:1.3.13.;VPL:1.3.14.;VPL:1.3.15.;VPL:1.3.16.;T:1.4.11.;T:1.4.12.;VPL:1.4.13.;VPL:1.4.14.;VPL:1.4.15.;sumball;label
2.65;5.0;4.0;5.0;4.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.5;3.01;3.0;3.0;3.0;75.50999999999999;1
2.85;5.0;5.0;0.0;0.0;0.0;5.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.5;0
2.78;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;0.0;0.0;4.88;3.17;3.0;3.0;0.0;56.050000000000004;1
3.0;5.0;5.0;5.0;5.0;5.0;5.0;4.5;5.0;2.0;2.5;3.0;4.5;2.71;0.0;0.0;3.0;75.6;1
2.7;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;0.0;5.0;3.38;3.0;2.0;0.0;58.38;1
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2.7;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.88;3.04;3.0;3.0;3.0;74.92;1
2.48;5.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0
2.06;5.0;5.0;4.0;0.0;5.0;5.0;5.0;5.0;2.0;3.0;1.5;4.25;0.0;0.0;0.0;0.0;43.25;0
2.94;4.5;3.5;5.0;5.0;5.0;3.0;3.5;5.0;2.0;3.0;3.0;3.5;0.0;3.0;3.0;0.0;52.0;1
1.69;3.5;4.0;0.0;0.0;0.0;4.5;4.5;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;16.5;0
1.61;4.5;5.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;14.5;0
2.9;5.0;5.0;5.0;5.0;5.0;3.5;5.0;5.0;2.0;0.0;0.0;4.0;2.5;0.0;0.0;0.0;44.5;0
2.22;3.5;5.0;5.0;5.0;5.0;3.5;5.0;5.0;2.0;3.0;3.0;2.88;2.58;3.0;2.0;3.0;68.0;1
1.8;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.88;0.63;0.0;0.0;0.0;1.5;0
2.53;4.5;5.0;3.0;5.0;5.0;5.0;5.0;5.0;1.0;3.0;0.0;5.0;3.21;3.0;3.0;3.0;64.71000000000001;1
1.14;0.83;1.0;0.0;0.0;0.0;0.5;1.0;0.0;0.0;0.0;0.0;0.75;1.67;0.0;0.0;0.0;3.0;0
1.78;4.83;0.0;5.0;5.0;5.0;0.0;0.0;5.0;2.0;3.0;3.0;0.0;0.0;3.0;3.0;3.0;50.83;1
2.45;5.0;5.0;5.0;5.0;5.0;4.5;5.0;5.0;2.0;3.0;3.0;5.0;3.01;3.0;3.0;3.0;73.50999999999999;1
2.6;4.33;5.0;5.0;5.0;5.0;4.0;5.0;0.0;2.0;0.0;0.0;3.75;2.58;0.0;0.0;0.0;39.08;0
2.75;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.38;3.0;3.0;3.0;0.0;82.67999999999999;1
2.25;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.63;3.38;0.0;0.0;0.0;70.39;1
2.53;4.0;5.0;5.0;4.0;5.0;4.0;2.5;5.0;0.0;3.0;3.0;0.38;0.71;0.0;0.0;0.0;42.3;0
2.65;4.5;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.33;2.92;3.0;3.0;3.0;69.83;1
2.39;4.5;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.0;0.0;0.0;3.75;3.0;0.0;0.0;0.0;47.75;0
2.15;4.0;5.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;4.25;3.33;0.0;0.0;0.0;26.58;0
2.25;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;5.0;2.92;3.0;3.0;3.0;79.45;1
1.98;4.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0
1.23;5.0;5.0;5.0;4.0;5.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;0
0.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.63;0.0;0.0;0.0;0.0;0.0;0
2.05;2.5;5.0;0.0;0.0;0.0;3.0;4.5;0.0;0.0;0.0;0.0;0.58;0.08;0.0;0.0;0.0;15.5;0
